,id,price,levy,manufacturer,model,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,car_age
0,45654403,13328.0,1399.0,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,186005.0,6.0,Automatic,4x4,4,Left wheel,Silver,12.0,14.0
1,44731507,16621.0,1018.0,CHEVROLET,Equinox,Jeep,No,Petrol,3.0,192000.0,6.0,Tiptronic,4x4,4,Left wheel,Black,8.0,13.0
3,45769185,3607.0,862.0,FORD,Escape,Jeep,Yes,Hybrid,2.5,168966.0,4.0,Automatic,4x4,4,Left wheel,White,0.0,13.0
4,45809263,11726.0,446.0,HONDA,FIT,Hatchback,Yes,Petrol,1.3,91901.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,10.0
5,45802912,39493.0,891.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,160931.0,4.0,Automatic,Front,4,Left wheel,White,4.0,8.0
6,45656768,1803.0,761.0,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,258909.0,4.0,Automatic,Front,4,Left wheel,White,12.0,14.0
11,45661288,1019.0,1055.0,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,138038.0,6.0,Automatic,Front,4,Left wheel,White,12.0,11.0
13,45772281,7683.0,810.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,121840.0,4.0,Automatic,Front,4,Left wheel,Blue,12.0,8.0
14,45797221,28382.0,810.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,54317.0,4.0,Automatic,Front,4,Left wheel,White,4.0,8.0
15,45801686,18826.0,531.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,112645.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,12.0
16,45168471,20698.0,586.0,TOYOTA,Prius,Sedan,Yes,Plug-in Hybrid,1.8,187000.0,4.0,Automatic,Front,4,Left wheel,White,12.0,12.0
17,45751951,17562.0,1249.0,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,39709.0,4.0,Automatic,Front,4,Left wheel,Black,12.0,7.0
21,45801525,14454.0,583.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,158787.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,13.0
23,44944581,15681.0,1288.0,MERCEDES-BENZ,Vito,Goods wagon,No,Diesel,2.0,180000.0,6.0,Manual,Rear,4,Left wheel,White,4.0,17.0
24,45760983,19444.0,915.0,PORSCHE,Cayenne,Jeep,Yes,Diesel,3.0,175056.0,6.0,Automatic,4x4,4,Left wheel,White,12.0,10.0
